id;scientific name;scientific name authorship;genus;family;order and higher taxonomic rank;decimal Longitude;decimal Latitude;depth;year;campaign;reference;vessel;basisOfRecord;
353;Sterechinus_diadema;(Studer 1876);Sterechinus Koehler 1901;Echinidae Gray 1825;Camarodonta Jackson 1912;69.018333;-49.038333;30;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
356;Sterechinus_diadema;(Studer 1876);Sterechinus Koehler 1901;Echinidae Gray 1825;Camarodonta Jackson 1912;69.133333;-48.968333;211;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
358;Sterechinus_diadema;(Studer 1876);Sterechinus Koehler 1901;Echinidae Gray 1825;Camarodonta Jackson 1912;69.151667;-48.883333;125;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
361;Sterechinus_diadema;(Studer 1876);Sterechinus Koehler 1901;Echinidae Gray 1825;Camarodonta Jackson 1912;69.175000;-48.855000;190;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
362;Sterechinus_diadema;(Studer 1876);Sterechinus Koehler 1901;Echinidae Gray 1825;Camarodonta Jackson 1912;69.188333;-48.676667;61;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
363;Sterechinus_diadema;(Studer 1876);Sterechinus Koehler 1901;Echinidae Gray 1825;Camarodonta Jackson 1912;69.193333;-48.668333;75;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
364;Sterechinus_diadema;(Studer 1876);Sterechinus Koehler 1901;Echinidae Gray 1825;Camarodonta Jackson 1912;69.200000;-48.776667;57;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
365;Sterechinus_diadema;(Studer 1876);Sterechinus Koehler 1901;Echinidae Gray 1825;Camarodonta Jackson 1912;69.205000;-48.761667;50;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
366;Sterechinus_diadema;(Studer 1876);Sterechinus Koehler 1901;Echinidae Gray 1825;Camarodonta Jackson 1912;69.231667;-49.536667;176;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
373;Sterechinus_diadema;(Studer 1876);Sterechinus Koehler 1901;Echinidae Gray 1825;Camarodonta Jackson 1912;69.355000;-49.066667;37;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
